LATITUDE,LONGITUDE
-4.31031485,107.25
-4.320629701,107.35
-4.341259402,107.45
-4.361889103,107.55
-4.382518804,107.65
-4.403148505,107.75
-4.423778206,107.85
-4.444407907,107.95
-4.465037608,108.05
-4.485667309,108.15
-4.50629701,108.25
-4.526926711,108.35
-4.547556412,108.45
-4.568186113,108.55
-4.588815814,108.65
-4.609445515,108.75
-4.630075216,108.85
-4.650704917,108.95
-4.671334618,109.05
-4.691964319,109.15
-4.71259402,109.25
-4.733223721,109.35
-4.753853422,109.45
-4.774483123,109.55
-4.795112824,109.65
-4.815742525,109.75
-4.836372226,109.85
-4.857001927,109.95
-4.877631628,110.05
-4.898261329,110.15
-4.91889103,110.25
-4.939520731,110.35
-4.960150432,110.45
-4.980780133,110.55
-5.001409834,110.65
-5.022039535,110.75
-5.042669236,110.85
-5.063298937,110.95
-5.083928638,111.05
-5.104558339,111.15
-5.12518804,111.25
-5.145817741,111.35
-5.166447442,111.45
-5.187077143,111.55
-5.207706844,111.65
-5.228336545,111.75
-5.248966246,111.85
-5.269595947,111.95
-5.290225648,112.05
-5.310855349,112.15
-5.33148505,112.25
-5.352114751,112.35
-5.372744452,112.45
-5.393374153,112.55
-5.414003854,112.65
-5.434633555,112.75
-5.455263256,112.85
-5.475892957,112.95
-5.496522658,113.05
-5.517152359,113.15
-5.53778206,113.25
-5.558411761,113.35
-5.579041462,113.45
-5.599671163,113.55
-5.620300864,113.65
-5.640930565,113.75
-5.661560266,113.85
-5.682189967,113.95
-5.702819668,114.05
-5.723449369,114.15
-5.74407907,114.25
-5.764708771,114.35
-5.785338472,114.45
-5.805968172,114.55
-5.826597873,114.65
-5.847227574,114.75
-5.867857275,114.85
-6.337788737,116.65
-6.381883285,116.75
-6.425940057,116.85
-6.469525117,116.95
-6.512579117,117.05
-6.555266028,117.15
-6.597993893,117.25
-6.640681331,117.35
-6.683229694,117.45
-6.725606659,117.55
-6.767931277,117.65
-6.810158652,117.75
-6.851864379,117.85
-6.89232535,117.95
-6.931355446,118.05
-6.96886385,118.15
-7.005314061,118.25
-7.040382253,118.35
-7.07356143,118.45
-7.104959137,118.55
-7.134709887,118.65
-7.163404211,118.75
-7.190892599,118.85
-7.217538535,118.95
-7.2433154,119.05
-7.268049295,119.15
-7.291855186,119.25
-7.314765132,119.35
-7.337089102,119.45
-7.358786611,119.55
-7.37979779,119.65
-7.400192988,119.75
-7.420124396,119.85
-7.43993204,119.95
-7.46030114,120.05
-7.480729613,120.15
-7.50112029,120.25
-7.520840315,120.35
-7.540479867,120.45
-7.560066011,120.55
-7.57970499,120.65
-7.599296297,120.75
-7.618888923,120.85
-7.638399566,120.95
-7.657828339,121.05
-7.676991218,121.15
-7.695746365,121.25
-7.714019387,121.35
-7.731816043,121.45
-7.749257464,121.55
-7.766355578,121.65
-7.783066645,121.75
-7.799085312,121.85
-7.814169514,121.95
-7.828099654,122.05
-7.840872036,122.15
-7.852632475,122.25
-7.86360841,122.35
-7.874002134,122.45
-7.88371183,122.55
-7.892664163,122.65
-7.900894095,122.75
-7.908524366,122.85
-7.915562676,122.95
-7.921866685,123.05
-7.927484678,123.15
-7.932635045,123.25
-7.937400901,123.35
-7.941836758,123.45
-7.945961091,123.55
-7.949969459,123.65
-7.953984604,123.75
-7.957977216,123.85
-7.961949044,123.95
-7.965935148,124.05
-7.969993913,124.15
-7.974293654,124.25
-7.978985152,124.35
-7.984243699,124.45
-7.98999811,124.55
-7.996183105,124.65
-8.002777532,124.75
-8.009962504,124.85
-8.017850633,124.95
-8.026486854,125.05
-8.035844719,125.15
-8.045987495,125.25
-8.056912257,125.35
-8.068566024,125.45
-8.080585457,125.55
-8.092780445,125.65
-8.104992548,125.75
-8.117376183,125.85
-8.129809753,125.95
-8.14222694,126.05
-8.154475133,126.15
-8.16659638,126.25
-8.178565253,126.35
-8.190491773,126.45
-8.202459201,126.55
-8.214540997,126.65
-8.226716412,126.75
-8.238926933,126.85
-8.251480674,126.95
-8.264442185,127.05
-8.277972178,127.15
-8.291979125,127.25
-8.30658989,127.35
-8.321882912,127.45
-8.337713942,127.55
-8.35386032,127.65
-8.370210378,127.75
-8.386695507,127.85
-8.40339081,127.95
-8.420344494,128.05
-8.437565584,128.15
-8.455141415,128.25
-8.472869763,128.35
-8.490725205,128.45
-8.508589421,128.55
-8.526567487,128.65
-8.544718003,128.75
-8.563003017,128.85
-8.581400188,128.95
-8.59977061,129.05
-8.618054741,129.15
-8.636228151,129.25
-8.654374053,129.35
-8.672544222,129.45
-8.690743312,129.55
-8.708652722,129.65
-8.726417587,129.75
-8.744177791,129.85
-8.762374772,129.95
-8.780996793,130.05
-8.799803214,130.15
-8.818642091,130.25
-8.83739209,130.35
-8.856070351,130.45
-8.874668809,130.55
-8.893214862,130.65
-8.911776071,130.75
-8.930223528,130.85
-8.948626322,130.95
-8.966894011,131.05
-8.984505779,131.15
-9.002180295,131.25
-9.019943488,131.35
-9.036995529,131.45
-9.05336246,131.55
-9.069632425,131.65
-9.086530788,131.75
-9.103689652,131.85
-9.120002192,131.95
-9.136325092,132.05
-9.15208072,132.15
-9.153511744,132.25
-9.130505122,132.35
-9.101974581,132.45
-9.08756601,132.55
-9.097512605,132.65
-9.113443088,132.75
-9.129850986,132.85
-9.146276491,132.95
-9.162234592,133.05
-9.177253671,133.15
-9.213966147,133.25
-9.24947069,133.35
-9.284442615,133.45
-9.296479768,133.55
-9.311665563,133.65
-9.319258461,133.75
-9.33,133.85
nan,133.95
nan,134.05
nan,134.15
nan,134.25
nan,134.35
nan,134.45
nan,134.55
nan,134.65
nan,134.75